[8s, 4c, 8d, Jc, 4s, 9c]
[5c, Ts, 9d, 7c, Jh, 2h]
[7h, 5d, Ac, 4s, Kh, 7c]
[5c, Qc, 4d, Qh, 8s, Qd]
[3s, Kc, 2s, Qc, 7c, Td]
[9h, 9d, Ks, Kd, 5h, Ac]
[4c, Ad, 7d, 8h, 3h, Jh]
[Ks, Qd, Th, Ts, Kh, 4h]
[9h, 7s, 2d, 2s, 5s, Qh]
[Ts, 9d, Ac, 4c, Qs, 7h]
[Ts, 6h, 3d, 3s, 7s, 5s]
[Jd, Ad, 7c, 8s, Js, 3s]
[8d, 7s, 5s, Jc, 2c, Qc]
[Js, Qs, 7d, 4s, 5d, 8s]
[Ac, 9h, Ks, 2s, 3d, Js]
[2h, Ac, 4s, 6s, 8c, 4h]
[Ts, Jh, 7h, Th, 5s, 4c]
[6h, 4s, Qh, 9d, Kh, Jc]
[Js, 4d, Kc, Qc, 3c, 9h]
[4c, 4d, 3s, 4s, 9c, 3d]
[2c, 7h, 2h, 5d, Jc, Qs]
[9d, Ts, 7c, 4d, 8d, Jh]
[5h, 9s, Th, Jd, 9d, 8h]
[9c, 9h, 9d, 8h, Qh, 8s]
[7d, 9s, Qh, 4h, 5d, As]
[Ad, Qs, As, Qh, 5s, 7s]
[8h, 3s, 3h, 5h, Kd, 6d]
[Tc, 8c, 3h, Td, Ac, Kd]
[3s, 8c, 8d, Kc, 5h, Ks]
[5d, Qs, 9s, 6d, Kh, 8h]
[Jh, 4c, 4s, 8h, Js, 2d]
[Kh, 5d, 8s, 7s, Td, Ah]
[Qd, 5s, As, 6s, Jd, Kd]
[Ks, Js, Kh, 3h, Tc, 8d]
[Js, 5s, Jh, 9c, 3c, Ac]
[5s, Ts, 4h, 8s, Th, 6d]
[2d, Qs, 2s, 4c, 5s, 3s]
[3s, Qd, Js, 7h, 3d, 4s]
[Kd, 2h, 3h, Ad, 2s, 6c]
[8h, 6s, 3c, Qc, Ac, 9h]
[Kc, 6s, 2d, Kh, 2c, 5c]
[Jd, Ah, 3s, Qd, Td, Tc]
[2s, Ts, Tc, 8d, 4s, Kc]
[2s, 8s, 7h, 3d, 2h, 8d]
[2s, Ts, 5c, Kc, Ad, 2d]
[3s, 8h, 2d, Qh, 3h, Kh]
[5d, 9s, Js, 8d, 2c, 5h]
[9c, 6d, 4d, 6h, Jh, Ah]
[7h, 6h, Qs, Ts, Qh, Js]
[Ah, 4c, Kc, Jh, 7c, 6c]
[3c, 8d, Ks, 2c, 9d, Qh]
[8c, Ts, 9h, 2d, Td, Kd]
[Kc, Ad, 8d, 4h, 2d, 2s]
[5s, 3h, Ac, 7s, 4d, 2h]
[4h, 3c, 7h, 5h, Ac, Jd]
[9c, Kd, 3d, Ks, 8c, 3c]
[5s, 6d, 3d, As, 3c, 9c]
[5d, 7s, 4d, 5c, 7c, 7h]
[3c, 5d, 9h, 9d, Ac, 3s]
[7h, 7s, 5d, 6d, Kc, 5s]
[6s, 4s, Ad, 6h, As, 4c]
[4d, Ac, 5s, Td, 4c, 3d]
[4h, Tc, 2s, 8d, Jd, 5h]
[Td, Ah, Jd, 7c, 8c, 6s]
[8c, 6d, Td, 5c, 2s, 7c]
[2c, 8h, 3h, Ks, 2h, As]
[5s, Qd, 9h, 6d, 6h, 2h]
[Td, Kc, Ac, 2d, 7s, Qh]
[8c, Ks, 5h, Kh, Jc, Jh]
[5c, Ts, 7h, 7c, 8c, As]
[5d, 7c, Js, Ad, Ts, 7h]
[9d, 2c, 6d, 5h, 4c, 8d]
[5h, 6d, 5c, 4s, 5s, 9c]
[4h, Js, Ks, 3c, Kh, Kc]
[Kh, 7h, Jh, 4s, 6s, Ac]
[6h, Qd, Kc, Td, 8c, Jd]
[Js, 7d, Qd, Tc, Jh, 3c]
[Qh, 6c, 2s, 6s, Jc, 6h]
[7d, 8h, 9c, 5h, Ad, Qs]
[3c, Jd, Td, Qh, 7d, 9d]
[Jh, 2s, 8h, Kc, Jc, 5c]
[5d, 9s, 3s, 3h, 4h, Jc]
[Jh, Kd, Qc, 2d, Ts, 9c]
[3d, Kc, 2d, 2s, Qc, 7d]
[9s, 8c, 2d, 2c, 6s, 7h]
[Jc, 3d, 9s, Th, 7s, Jh]
[6s, 3d, 7s, Ts, Qd, 2c]
[6d, 4d, 7s, 2c, 6c, As]
